CIP13,NOM COURT,PRODUIT,Code EphMRA,Classe EphMRA,"Code
ATC","Classe
ATC","Code
ATC 2","Libellé
ATC 2",Base de remboursement Année 2017,"Nombre de boites remboursées     
Année 2017",Montant remboursé     Année 2017
3400949500123,ABILIFY 15 MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"27,092 €",385,"24,837 €"
3400949500215,ABILIFY 15 MG CPR ADP BBF 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"17,329 €",257,"16,835 €"
3400937329798,ABILIFY 150 MG SOL BUV 1,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"412,105 €","8,499","331,957 €"
3400936407862,ABILIFY 15MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"4,899,698 €","66,213","4,578,948 €"
3400936921740,ABILIFY 15MG CPR DISP 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"707,630 €","9,104","659,369 €"
3400949500109,ABILIFY 5 MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"32,647 €",464,"28,950 €"
3400949500192,ABILIFY 5 MG CPR ADP BBF 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"19,447 €",287,"16,726 €"
3400936406971,ABILIFY 5MG CPR 28,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"6,307,863 €","85,610","5,498,558 €"
3400927721847,ABILIFY MAINTENA 300 MG SUSP INJ 1,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"6,216,989 €","23,111","5,696,565 €"
3400927721908,ABILIFY MAINTENA 400 MG SUSP INJ 1,ABILIFY,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"146,127 €",538,"134,783 €"
3400930018972,ABILIFY MAINTENA 400 MG SUSP INJ 1,ABILIFY MAINTENA,N05A1,ANTIPSYCHOTIQUES ATYPIQUES,N05AX12,ARIPIPRAZOLE,N05,PSYCHOLEPTIQUES,"24,723,136 €","91,825","23,079,569 €"
3400939104294,ABSTRAL 100 MCG CPR 10,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"973,455 €","16,694","896,600 €"
3400939104355,ABSTRAL 100 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"6,375,734 €","36,405","5,951,767 €"
3400939104416,ABSTRAL 200 MCG CPR 10,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"456,306 €","8,304","428,212 €"
3400939104584,ABSTRAL 200 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"4,218,492 €","23,656","3,997,981 €"
3400939104645,ABSTRAL 300 MCG CPR 10,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"66,267 €","1,111","58,195 €"
3400939104706,ABSTRAL 300 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"1,111,466 €","6,242","1,045,961 €"
3400939104874,ABSTRAL 400 MCG CPR 10,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"100,798 €","1,798","96,938 €"
3400939104935,ABSTRAL 400 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"1,500,689 €","8,394","1,416,242 €"
3400939105185,ABSTRAL 600 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"743,476 €","4,105","721,441 €"
3400939105765,ABSTRAL 800 MCG CPR 30,ABSTRAL,N02A,NARCOTIQUES,N02AB03,FENTANYL,N02,ANALGESIQUES,"752,607 €","4,085","725,855 €"
3400932939077,ACADIONE 250MG CPR 120,ACADIONE,M01C,ANTIRHUMATISMAUX SPECIFIQUES,M01CC,TIOPRONINE,M01,ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX,"47,637 €",837,"42,406 €"
3400927607905,ACAMPROSATE BIOGARAN 333 MG CPR GASTRORESISTANT 180,ACAMPROSATE BIOGARAN,N07E,MEDICAMENTS UTILISES DANS LA DEPENDANCE ALCOOLIQUE,N07BB03,ACAMPROSATE,N07,AUTRES MEDICAMENTS DU SYSTEME NERVEUX,"2,474,702 €","80,103","1,888,765 €"
3400927607783,ACAMPROSATE BIOGARAN 333 MG CPR GASTRORESISTANT 60,ACAMPROSATE BIOGARAN,N07E,MEDICAMENTS UTILISES DANS LA DEPENDANCE ALCOOLIQUE,N07BB03,ACAMPROSATE,N07,AUTRES MEDICAMENTS DU SYSTEME NERVEUX,"3,014,753 €","286,384","2,330,534 €"
3400941540363,ACARBOSE ARROW 100 MG CPR 270,ACARBOSE ARROW,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,526 €,12,526 €
3400949824540,ACARBOSE ARROW 100 MG CPR 90,ACARBOSE ARROW,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,454 €,29,432 €
3400941540134,ACARBOSE ARROW 50 MG CPR 270,ACARBOSE ARROW,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,287 €,9,264 €
3400949824250,ACARBOSE ARROW 50 MG CPR 90,ACARBOSE ARROW,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,394 €,35,367 €
3400922234250,"ACARBOSE ARROW LAB 100 MG 1 BOITE DE 270, COMPRIME",ACARBOSE ARROW LAB,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,44 €,1,44 €
3400939872544,ACARBOSE BIOGARAN 100MG CPR SEC 90,ACARBOSE BIOGARAN,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"2,145,335 €","137,705","2,075,593 €"
3400939872254,ACARBOSE BIOGARAN 50MG CPR 90,ACARBOSE BIOGARAN,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"984,447 €","87,196","929,900 €"
3400926971465,ACARBOSE EG 100 MG CPR 90,ACARBOSE EG,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"385,073 €","24,064","373,683 €"
3400926971175,ACARBOSE EG 50 MG CPR 90,ACARBOSE EG,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"174,701 €","15,085","166,052 €"
3400927611926,ACARBOSE MYLAN 100 MG CPR SEC 90,ACARBOSE MYLAN,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"590,845 €","36,807","570,171 €"
3400927611575,ACARBOSE MYLAN 50 MG CPR 90,ACARBOSE MYLAN,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"666,462 €","58,243","630,427 €"
3400926983062,ACARBOSE SANDOZ 100 MG CPR 90,ACARBOSE SANDOZ,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"728,866 €","46,963","705,583 €"
3400926982751,ACARBOSE SANDOZ 50 MG CPR 90,ACARBOSE SANDOZ,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"344,175 €","30,539","326,578 €"
3400922233888,ACARBOSE TEVA 100 MG CPR 90,ACARBOSE TEVA,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"397,123 €","25,391","384,896 €"
3400922232188,ACARBOSE TEVA 50 MG CPR 90,ACARBOSE TEVA,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"189,981 €","16,756","179,861 €"
3400930581933,ACARBOSE ZENTIVA 100 MG CPR SEC 90,ACARBOSE ZENTIVA,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"1,217,828 €","69,694","1,177,558 €"
3400930583715,ACARBOSE ZENTIVA 50 MG CPR 90,ACARBOSE ZENTIVA,A10L,ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE,A10BF01,ACARBOSE,A10,MEDICAMENTS DU DIABETE,"438,962 €","35,532","414,923 €"
3400930010419,"ACCOFIL 30 MU/0,5 ML SOL INJ 1",ACCOFIL,L03A1,FACTEURS DE CROISSANCE,L03AA02,FILGRASTIM,L03,IMMUNOSTIMULANTS,"105,225 €","1,433","104,861 €"
3400930010457,"ACCOFIL 48 MU/0,5 ML SOL INJ 1",ACCOFIL,L03A1,FACTEURS DE CROISSANCE,L03AA02,FILGRASTIM,L03,IMMUNOSTIMULANTS,"58,418 €",502,"57,370 €"
3400938649130,ACEBUTOLOL ALMUS 200 MG CPR 30,ACEBUTOLOL ALMUS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"61,638 €","15,071","54,952 €"
3400936896925,ACEBUTOLOL ALTER 200 MG CPR 30,ACEBUTOLOL ALTER,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,16 €,4,16 €
3400935347596,ACEBUTOLOL ALTER 400 MG CPR 30,ACEBUTOLOL ALTER,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,7 €,1,7 €
3400937365758,ACEBUTOLOL ARROW 200 MG CPR 90,ACEBUTOLOL ARROW,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"285,744 €","25,209","246,630 €"
3400935949684,ACEBUTOLOL ARROW 200MG CPR 30,ACEBUTOLOL ARROW,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"448,906 €","108,960","400,162 €"
3400935949745,ACEBUTOLOL ARROW 400MG CPR 30,ACEBUTOLOL ARROW,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"108,258 €","16,572","90,460 €"
3400937397636,ACEBUTOLOL ARROW 400MG CPR 90,ACEBUTOLOL ARROW,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,16 €,1,10 €
3400930067390,"ACEBUTOLOL BIOGARAN 200 MG 1 BOITE DE 30, COMPRIME",ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"14,184 €","3,468","12,696 €"
3400930038727,ACEBUTOLOL BIOGARAN 200 MG CPR 90,ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"13,244 €","1,170","11,410 €"
3400935307446,ACEBUTOLOL BIOGARAN 200MG CPR 30,ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"1,921,200 €","469,717","1,702,650 €"
3400937813341,ACEBUTOLOL BIOGARAN 200MG CPR 90,ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"1,394,805 €","123,218","1,205,354 €"
3400935284112,ACEBUTOLOL BIOGARAN 400MG CPR 30,ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"408,846 €","63,294","342,275 €"
3400937841375,ACEBUTOLOL BIOGARAN 400MG CPR 90,ACEBUTOLOL BIOGARAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,517 €,28,413 €
3400937366649,ACEBUTOLOL CRISTERS 200 MG CPR 90,ACEBUTOLOL CRISTERS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"78,185 €","6,906","67,673 €"
3400935949974,ACEBUTOLOL CRISTERS 200MG CPR 30,ACEBUTOLOL CRISTERS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"116,307 €","28,412","103,949 €"
3400935950055,ACEBUTOLOL CRISTERS 400MG CPR 30,ACEBUTOLOL CRISTERS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"25,231 €","3,899","21,542 €"
3400935466624,ACEBUTOLOL EG 200MG CPR 30,ACEBUTOLOL EG,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"294,741 €","71,542","264,176 €"
3400937680844,ACEBUTOLOL EG 200MG CPR 90,ACEBUTOLOL EG,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"195,590 €","17,270","171,795 €"
3400935466563,ACEBUTOLOL EG 400MG CPR 30,ACEBUTOLOL EG,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"51,591 €","7,794","43,193 €"
3400937680905,ACEBUTOLOL EG 400MG CPR 90,ACEBUTOLOL EG,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"80,804 €","4,408","64,851 €"
3400937301244,ACEBUTOLOL MYLAN 200 MG CPR 90,ACEBUTOLOL MYLAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"1,128,973 €","99,540","976,000 €"
3400935020734,ACEBUTOLOL MYLAN 200MG CPR 30,ACEBUTOLOL MYLAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"1,789,026 €","433,435","1,585,564 €"
3400937384339,ACEBUTOLOL MYLAN 400 MG CPR 90,ACEBUTOLOL MYLAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"560,708 €","30,388","451,442 €"
3400935020963,ACEBUTOLOL MYLAN 400MG CPR 30,ACEBUTOLOL MYLAN,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"387,830 €","58,900","328,813 €"
3400938523478,ACEBUTOLOL RANBAXY 200 MG CPR 30,ACEBUTOLOL RANBAXY,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"28,438 €","6,953","25,438 €"
3400937380317,ACEBUTOLOL RANBAXY 200 MG CPR 90,ACEBUTOLOL RANBAXY,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"12,101 €","1,069","10,443 €"
3400938523539,ACEBUTOLOL RANBAXY 400 MG CPR 30,ACEBUTOLOL RANBAXY,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"4,072 €",630,"3,513 €"
3400937378185,ACEBUTOLOL RANBAXY 400 MG CPR 90,ACEBUTOLOL RANBAXY,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"4,700 €",257,"3,965 €"
3400937226561,ACEBUTOLOL RATIOPHARM 200 MG CPR 90,ACEBUTOLOL RATIOPHARM,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,399 €,35,299 €
3400935147806,ACEBUTOLOL RATIOPHARM 200MG CPR 30,ACEBUTOLOL RATIOPHARM,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,434 €,106,368 €
3400937146685,ACEBUTOLOL RATIOPHARM 400 MG CPR 90,ACEBUTOLOL RATIOPHARM,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,19 €,1,12 €
3400934817151,ACEBUTOLOL RATIOPHARM 400MG CPR 30,ACEBUTOLOL RATIOPHARM,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,714 €,103,559 €
3400936583900,ACEBUTOLOL SANDOZ 200 MG CPR 30,ACEBUTOLOL SANDOZ,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"1,007,962 €","246,450","894,825 €"
3400937292627,ACEBUTOLOL SANDOZ 200 MG CPR 90,ACEBUTOLOL SANDOZ,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"677,305 €","59,835","583,904 €"
3400936584099,ACEBUTOLOL SANDOZ 400 MG CPR 30,ACEBUTOLOL SANDOZ,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"169,383 €","26,212","142,710 €"
3400937292856,ACEBUTOLOL SANDOZ 400 MG CPR 90,ACEBUTOLOL SANDOZ,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"233,528 €","12,769","188,511 €"
3400936146365,ACEBUTOLOL TEVA 200MG CPR 30,ACEBUTOLOL TEVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"554,611 €","134,650","491,467 €"
3400937311069,ACEBUTOLOL TEVA 200MG CPR 90,ACEBUTOLOL TEVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"397,340 €","35,063","341,334 €"
3400936146426,ACEBUTOLOL TEVA 400MG CPR 30,ACEBUTOLOL TEVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"137,813 €","21,131","115,866 €"
3400937850711,ACEBUTOLOL ZENTIVA 200 MG CPR 30,ACEBUTOLOL ZENTIVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"671,161 €","156,792","595,671 €"
3400937850889,ACEBUTOLOL ZENTIVA 200 MG CPR 90,ACEBUTOLOL ZENTIVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"431,482 €","37,447","372,308 €"
3400937861946,ACEBUTOLOL ZENTIVA 400 MG CPR 30,ACEBUTOLOL ZENTIVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"156,634 €","21,942","133,013 €"
3400937862028,ACEBUTOLOL ZENTIVA 400 MG CPR 90,ACEBUTOLOL ZENTIVA,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,93 €,5,80 €
3400935409614,ACEBUTOLOL ZYDUS 200MG CPR 30,ACEBUTOLOL ZYDUS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"96,151 €","23,508","86,220 €"
3400937125284,ACEBUTOLOL ZYDUS 200MG CPR 90,ACEBUTOLOL ZYDUS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"48,619 €","4,295","42,186 €"
3400935386229,ACEBUTOLOL ZYDUS 400MG CPR 30,ACEBUTOLOL ZYDUS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,"21,231 €","3,287","17,906 €"
3400937125116,ACEBUTOLOL ZYDUS 400MG CPR 90,ACEBUTOLOL ZYDUS,C07A,BETABLOQUANTS NON ASSOCIES,C07AB04,ACEBUTOLOL,C07,BETABLOQUANTS,56 €,3,43 €
3400930029480,ACECLOFENAC BIOGARAN 100 MG CPR 30,ACECLOFENAC BIOGARAN,M01A1,ANTIRHUMATISMAUX NON STEROIDIENS NON ASSOCIES,M01AB16,ACECLOFENAC,M01,ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX,"727,508 €","217,293","507,615 €"
3400938987119,ACECLOFENAC EG 100MG CPR 30,ACECLOFENAC EG,M01A1,ANTIRHUMATISMAUX NON STEROIDIENS NON ASSOCIES,M01AB16,ACECLOFENAC,M01,ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX,"1,023,653 €","305,521","716,448 €"
3400949974214,ACECLOFENAC INTAS PHARMACEUTICALS 100 MG CPR 30,ACECLOFENAC INTAS PHARMACEUTICALS,M01A1,ANTIRHUMATISMAUX NON STEROIDIENS NON ASSOCIES,M01AB16,ACECLOFENAC,M01,ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX,"8,334 €","2,488","5,752 €"
3400937279840,ACECLOFENAC MYLAN 100MG CPR 30,ACECLOFENAC MYLAN,M01A1,ANTIRHUMATISMAUX NON STEROIDIENS NON ASSOCIES,M01AB16,ACECLOFENAC,M01,ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX,"154,545 €","46,218","108,091 €"
3400938844597,ACETATE DE CYPROTERONE ARROW 100 MG CPR SEC 60,CYPROTERONE ARROW,L02B2,ANTIANDROGENES CYTOSTATIQUES,G03HA01,CYPROTERONE,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,"147,801 €","1,946","147,197 €"
3400938844368,ACETATE DE CYPROTERONE ARROW 50 MG CPR 20,CYPROTERONE ARROW,L02B2,ANTIANDROGENES CYTOSTATIQUES,G03HA01,CYPROTERONE,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,"458,031 €","41,535","323,663 €"
